Ticker,Security,GICS Sector,Beta,R_Squared,Volatility
APA,APA Corporation,Energy,1.9504802306078584,0.2868024470239706,0.8720844964285028
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1.9367770039299843,0.32404417115118156,0.8146779319255532
CVNA,Carvana,Consumer Discretionary,1.9199095993306494,0.30910495265569027,0.8268681000161593
CCL,Carnival,Consumer Discretionary,1.8373474513096075,0.3679645015550125,0.7252650821932887
TRGP,Targa Resources,Energy,1.8301363839659814,0.2831608225877288,0.8235222011203736
RCL,Royal Caribbean Group,Consumer Discretionary,1.8095719668212882,0.37186871869724347,0.7105415438490443
MGM,MGM Resorts,Consumer Discretionary,1.790475425493799,0.4640328800640132,0.6293647669737554
HAL,Halliburton,Energy,1.779042915001656,0.44674187634970564,0.63733318445862
AMP,Ameriprise Financial,Financials,1.7708860853578159,0.76472952386289,0.48489213081204285
OXY,Occidental Petroleum,Energy,1.7262379082508437,0.3293980812430095,0.7201924367582757
XYZ,"Block, Inc.",Financials,1.7082948685545214,0.4582957124119026,0.6042245660673521
DVN,Devon Energy,Energy,1.69817010618707,0.37351488806076694,0.6653278027617758
ON,ON Semiconductor,Information Technology,1.6822247449069645,0.46805316118160245,0.5887689044418839
TPR,"Tapestry, Inc.",Consumer Discretionary,1.6750840332864412,0.4537210175937676,0.5954572529518909
BA,Boeing,Industrials,1.655419275218408,0.4711368998580786,0.5774878973855547
FCX,Freeport-McMoRan,Materials,1.634547283993815,0.4871843289189789,0.5607370758691806
URI,United Rentals,Industrials,1.6341744654860664,0.5666125705126657,0.5198328934111575
MPC,Marathon Petroleum,Energy,1.6182945635653836,0.48471953058576833,0.5565712322264715
WDC,Western Digital,Information Technology,1.6024303444777646,0.4881326250289716,0.549185019278423
PRU,Prudential Financial,Financials,1.595709425793827,0.7152823365587097,0.4517763573383392
LRCX,Lam Research,Information Technology,1.5929226870634567,0.5822105940855369,0.49987691983534066
SYF,Synchrony Financial,Financials,1.5916286187093565,0.5676032187166421,0.5058569882111346
WYNN,Wynn Resorts,Consumer Discretionary,1.5898594484416992,0.38988231489255065,0.6096778308612126
OKE,Oneok,Energy,1.5831842136241936,0.37955510897194233,0.6153220371744234
KEY,KeyCorp,Financials,1.5750747595418342,0.5806741560451237,0.4949295252002164
C,Citigroup,Financials,1.570468635973682,0.6938746076474767,0.45143706044975895
IVZ,Invesco,Financials,1.5699667125828225,0.5624451431251527,0.5012550928235324
COF,Capital One,Financials,1.5607250917854707,0.6238117966078375,0.4731600404252569
FANG,Diamondback Energy,Energy,1.5597430966611445,0.28642518688415475,0.6978400793260026
TTD,Trade Desk (The),Communication Services,1.5583849438886601,0.2801518236795526,0.7049956803473661
