date,market_vader_mean,market_vader_std,market_article_count,market_finbert_mean,market_finbert_std
2018-01-02 00:00:00+00:00,-0.09090666666666666,0.29044552837387766,15,-0.39810483989616235,0.4814177118694863
2018-01-02 19:21:00+00:00,0.5719,0.0,1,-0.6323248744010925,0.0
2018-01-03 00:00:00+00:00,0.07749166666666667,0.31267046102401436,12,0.10850024782121181,0.6053598331857046
2018-01-03 14:02:00+00:00,0.836,0.0,1,0.9121359586715698,0.0
2018-01-03 19:31:00+00:00,0.5086,0.0,1,0.4187113344669342,0.0
2018-01-04 00:00:00+00:00,0.01032666666666666,0.35159283363951926,15,-0.3577523278693358,0.7082980009567935
2018-01-04 19:30:00+00:00,-0.7351,0.0,1,-0.3260011076927185,0.0
2018-01-04 19:58:00+00:00,0.3818,0.0,1,-0.5772392749786377,0.0
2018-01-05 00:00:00+00:00,-0.11415,0.3504662866481212,14,0.09348608287317413,0.5986565306597305
2018-01-05 12:00:00+00:00,-0.4939,0.0,1,-0.9648082852363586,0.0
2018-01-05 17:18:00+00:00,0.8074,0.0,1,0.14027170836925507,0.0
2018-01-05 18:54:00+00:00,-0.8957,0.0,1,-0.20821775496006012,0.0
2018-01-05 18:59:00+00:00,0.6249,0.0,1,0.07229316234588623,0.0
2018-01-05 19:24:00+00:00,-0.8957,0.0,1,-0.20799191296100616,0.0
2018-01-05 19:26:00+00:00,-0.6486,0.0,1,0.2597874402999878,0.0
2018-01-06 00:00:00+00:00,-0.011664999999999995,0.3773753335801598,20,0.0002016659826040268,0.5881045758586466
2018-01-08 00:00:00+00:00,-0.12858,0.38982005775558987,15,-0.306317824870348,0.6610090679107528
2018-01-08 15:37:00+00:00,0.4404,0.0,1,0.8705834150314331,0.0
2018-01-08 19:41:00+00:00,0.46035000000000004,0.3649378097703772,2,0.4379914849996567,0.5225286410102714
2018-01-08 19:42:00+00:00,-0.5994,0.0,1,0.557208776473999,0.0
2018-01-09 00:00:00+00:00,-0.18418181818181817,0.4580519988345904,11,-0.5523322358388792,0.4092977393313494
2018-01-09 19:01:00+00:00,-0.7964,0.0,1,0.004650697112083435,0.0
2018-01-09 19:24:00+00:00,-0.10115,0.14304770183403856,2,-0.2429850995540619,0.3331355605664137
2018-01-09 22:53:00+00:00,-0.2382,0.0,1,-0.6109129190444946,0.0
2018-01-10 00:00:00+00:00,-0.014255555555555547,0.4094948373238322,27,-0.23088921537553822,0.6841501587384812
2018-01-10 19:32:00+00:00,0.0772,0.0,1,0.09336474537849426,0.0
2018-01-10 19:33:00+00:00,-0.5423,0.0,1,-0.7379204630851746,0.0
2018-01-11 00:00:00+00:00,-0.21398333333333333,0.3361772742125346,12,-0.4248423495640357,0.5257447146750643
2018-01-11 19:38:00+00:00,0.1531,0.0,1,-0.03202212601900101,0.0
2018-01-12 00:00:00+00:00,-0.09973846153846154,0.34508482903594767,13,-0.14933374466804358,0.7398454999700026
2018-01-12 14:59:00+00:00,0.0,0.0,1,-0.025950822979211807,0.0
2018-01-12 19:05:00+00:00,0.368,0.0,1,0.022051885724067688,0.0
2018-01-12 19:06:00+00:00,0.8713,0.0,1,0.22306552529335022,0.0
2018-01-14 00:00:00+00:00,-0.22506428571428572,0.48921675486614136,14,-0.5391850652439254,0.37365536440680786
2018-01-15 00:00:00+00:00,-0.20533076923076926,0.41278680208354407,13,-0.25189189698833686,0.5046297670915346
2018-01-16 00:00:00+00:00,-0.2176423076923077,0.40855811843416057,26,-0.3024619415115852,0.517158439127408
2018-01-16 19:01:00+00:00,-0.1477,0.0,1,0.30753976106643677,0.0
2018-01-17 00:00:00+00:00,-0.18942333333333336,0.4345756215160855,30,-0.375627080971996,0.45137385559504895
2018-01-17 20:43:00+00:00,0.0,0.0,1,0.10350336879491806,0.0
2018-01-18 00:00:00+00:00,-0.05418,0.32996523056120675,30,-0.123466542797784,0.6102239116905487
2018-01-18 19:20:00+00:00,-0.7096,0.0,1,-0.3875572383403778,0.0
2018-01-19 00:00:00+00:00,0.13173125,0.4016315753170642,16,-0.03270494833122939,0.5327606762028005
2018-01-19 05:23:00+00:00,0.0,0.0,1,-0.7980777621269226,0.0
2018-01-21 00:00:00+00:00,-0.108975,0.3957977673846414,16,-0.23577908403240144,0.2954282863428586
2018-01-22 00:00:00+00:00,-0.03380666666666666,0.3540893883645498,15,-0.11395247541368007,0.3944012367440475
2018-01-22 19:05:00+00:00,-0.7269,0.0,1,-0.8581267595291138,0.0
2018-01-23 00:00:00+00:00,0.023662068965517237,0.39401886594950997,29,-0.10533833991864631,0.6038107136175066
2018-01-23 10:13:00+00:00,0.5994,0.0,1,0.9222682118415833,0.0
2018-01-23 19:00:00+00:00,0.1406,0.0,1,-0.2635849416255951,0.0
2018-01-23 19:51:00+00:00,0.4215,0.0,1,0.9206320643424988,0.0
2018-01-24 00:00:00+00:00,-0.12696666666666664,0.33181254532958104,15,-0.31273421707252663,0.4099353472665306
2018-01-24 19:45:00+00:00,0.0,0.0,1,0.002001427114009857,0.0
2018-01-25 00:00:00+00:00,-0.00959999999999999,0.3787560833394847,16,-0.08357699250336736,0.5223369398400594
2018-01-26 00:00:00+00:00,-0.1607322580645161,0.41705970267025066,31,-0.2460455625287948,0.5473288384892591
2018-01-28 00:00:00+00:00,-0.0544125,0.445160101349316,16,-0.08426348597276956,0.20273557745483678
2018-01-29 00:00:00+00:00,-0.11851874999999999,0.35366464193969593,16,-0.4270642912015319,0.38918292960957024
2018-01-29 14:13:00+00:00,0.0,0.0,1,0.13416463136672974,0.0
