date,Ticker,vader_mean,vader_std,article_count,finbert_mean,finbert_std
2018-01-02 00:00:00+00:00,BA,0.5354,0.24635600256539317,2,0.9325149655342102,0.007281879604621205
2018-01-02 00:00:00+00:00,CAG,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,CHD,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,CHRW,0.5354,0.24635600256539317,2,0.9325149655342102,0.007281879604621205
2018-01-02 00:00:00+00:00,CL,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,CLX,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,COST,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,CPB,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,DG,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,GIS,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,HRL,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,KDP,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,KMB,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,KR,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,MKC,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,ON,0.1591,0.2250013777735594,2,-0.39223999343812466,0.5358009918051817
2018-01-02 00:00:00+00:00,PG,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,SJM,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,TTD,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,URI,0.5354,0.24635600256539317,2,0.9325149655342102,0.007281879604621205
2018-01-02 00:00:00+00:00,VZ,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 00:00:00+00:00,WMT,0.0,0.0,1,-0.18110330402851105,0.0
2018-01-02 13:19:00+00:00,ON,-0.5667,0.0,1,-0.9636006355285645,0.0
2018-01-02 19:02:00+00:00,ON,0.0,0.0,1,0.006849348545074463,0.0
2018-01-02 19:07:00+00:00,ON,0.8807,0.0,1,0.027193594723939896,0.0
2018-01-02 19:20:00+00:00,ON,-0.2732,0.0,1,-0.39483147859573364,0.0
2018-01-02 19:22:00+00:00,APA,0.886,0.0,1,0.07526307553052902,0.0
2018-01-02 19:22:00+00:00,DVN,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,FANG,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,HAL,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,MPC,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,OKE,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,OXY,0.886,0.0,1,0.0752631202340126,0.0
2018-01-02 19:22:00+00:00,TRGP,0.886,0.0,1,0.07526307553052902,0.0
2018-01-02 19:35:00+00:00,ON,0.0,0.0,1,0.3150293231010437,0.0
2018-01-03 00:00:00+00:00,BA,-0.05245,0.5550081125533212,2,-0.949747771024704,0.0006170720090479995
2018-01-03 00:00:00+00:00,CHRW,-0.05245,0.5550081125533212,2,-0.949747771024704,0.0006170720090479995
2018-01-03 00:00:00+00:00,GEN,0.0,0.0,1,0.905291736125946,0.0
2018-01-03 00:00:00+00:00,LRCX,0.0,0.0,1,0.905291736125946,0.0
