Date,Ticker,Log_Return,Sector,Beta,Beta_Group,vader_mean,finbert_mean,article_count,vader_std,finbert_std,market_vader_mean,market_finbert_mean,market_article_count,market_vader_std,market_finbert_std
2018-01-03,AEP,-0.0084595319262916,Utilities,0.5855510507318068,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,AMP,-0.0049561309139145,Financials,1.770886085357816,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,APA,0.0229846063769509,Energy,1.9504802306078584,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,BA,0.003229002192742,Industrials,1.655419275218408,High Beta,-0.05245,-0.9497477412223816,2.0,0.5550081125533212,0.0006170298621994,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,C,0.0030881338216768,Financials,1.570468635973682,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CAG,-0.0050769051488025,Consumer Staples,0.4802031553953858,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CCL,0.0022448071150967,Consumer Discretionary,1.8373474513096075,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CHD,-0.0064948861961106,Consumer Staples,0.4887350572192573,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CHRW,-0.0027896467891172,Industrials,0.5900930323754365,Low Beta,-0.05245,-0.9497477412223816,2.0,0.5550081125533212,0.0006170298621994,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CL,-0.0038667741890605,Consumer Staples,0.6415020560721268,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CLX,-0.0108175840065704,Consumer Staples,0.3303493339744947,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CMS,-0.0061965106460413,Utilities,0.6372607528228073,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,COF,-0.0017078213042194,Financials,1.5607250917854707,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,COST,0.011929615319717,Consumer Staples,0.6636627951917302,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CPB,-0.0142388138926393,Consumer Staples,0.3452942820994704,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,CVNA,0.0032716153931493,Consumer Discretionary,1.9199095993306488,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,DG,-0.0007445984729889,Consumer Staples,0.5782907860957667,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,DPZ,0.0249351801872707,Consumer Discretionary,0.5289651261194434,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,DVN,0.011536064758912,Energy,1.69817010618707,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,ED,-0.0094970615546685,Utilities,0.5581115169616554,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,EXR,0.0020985465188016,Real Estate,0.6184219832313661,Low Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
2018-01-03,FANG,0.0100370702682436,Energy,1.5597430966611443,High Beta,0.0,0.0,0.0,0.0,0.0,0.0651133333333333,0.1177410170435905,15.0,0.3438501975874848,0.5987814520391853
