Ticker,Sector,Beta,Beta_Group,n_obs,FinBERT_TE_forward,FinBERT_TE_backward,FinBERT_TE_net,FinBERT_TE_p,FinBERT_significant,VADER_TE_forward,VADER_TE_backward,VADER_TE_net,VADER_TE_p,VADER_significant
NEM,Materials,0.2901094275651221,Low Beta,639,0.0,0.004663320232510371,-0.004663320232510371,1.0,False,0.0,0.0012387099083766007,-0.0012387099083766007,1.0,False
OKE,Energy,1.5831842136241936,High Beta,639,0.0,0.01132044641978558,-0.01132044641978558,1.0,False,0.0,0.011939959068870243,-0.011939959068870243,1.0,False
ON,Information Technology,1.6822247449069645,High Beta,639,0.004154150756755071,0.008136316604576699,-0.003982165847821628,0.515,False,0.00866409874528462,0.009193805327279314,-0.0005297065819946933,0.21,False
OXY,Energy,1.7262379082508437,High Beta,639,0.0,0.008918014786266859,-0.008918014786266859,1.0,False,0.0,0.012828511047130675,-0.012828511047130675,1.0,False
PG,Consumer Staples,0.667031482232581,Low Beta,639,0.0,0.010460088639430154,-0.010460088639430154,1.0,False,0.0,0.01177644350214635,-0.01177644350214635,1.0,False
PRU,Financials,1.595709425793827,High Beta,639,0.0,0.0011482108220708387,-0.0011482108220708387,1.0,False,0.0,0.011125463787354795,-0.011125463787354795,1.0,False
PSA,Real Estate,0.597557369079425,Low Beta,639,0.0,0.012445088588278086,-0.012445088588278086,1.0,False,0.0,0.01056971922191785,-0.01056971922191785,1.0,False
RCL,Consumer Discretionary,1.809571966821288,High Beta,639,0.008492820527683964,0.029177846896955018,-0.020685026369271053,0.005,True,0.0,0.022985114103190263,-0.022985114103190263,1.0,False
SJM,Consumer Staples,0.3851387093791879,Low Beta,639,0.0,0.005861522732586222,-0.005861522732586222,1.0,False,0.0,0.0009389662227818896,-0.0009389662227818896,1.0,False
SW,Materials,0.4651485500337147,Low Beta,639,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,1.0,False
SYF,Financials,1.5916286187093565,High Beta,639,0.0,0.007859899603160247,-0.007859899603160247,1.0,False,0.0,0.00541246683272667,-0.00541246683272667,1.0,False
TPR,Consumer Discretionary,1.6750840332864412,High Beta,639,0.0,0.024112278557585576,-0.024112278557585576,1.0,False,0.005022788999948569,0.006967056200142041,-0.0019442672001934724,0.06,False
TRGP,Energy,1.8301363839659808,High Beta,639,0.019659054687382715,0.004670653937243419,0.014988400750139297,0.0,True,0.009907853801032429,0.00918662158812622,0.0007212322129062088,0.045,True
TTD,Communication Services,1.55838494388866,High Beta,639,0.010608478441257452,0.0058956772190081885,0.004712801222249263,0.27,False,0.007163877230018434,0.010628446515202228,-0.003464569285183794,0.475,False
URI,Industrials,1.6341744654860664,High Beta,639,0.029641175070645787,0.006109671421498319,0.023531503649147467,0.0,True,0.01134104155927762,0.013235483877032328,-0.0018944423177547076,0.08,False
VZ,Communication Services,0.5189669305555996,Low Beta,639,0.0,0.00329465487901226,-0.00329465487901226,1.0,False,0.0,0.005489896795297433,-0.005489896795297433,1.0,False
WDC,Information Technology,1.6024303444777646,High Beta,639,0.0037188277215103316,0.019584500634423296,-0.015865672912912965,0.48,False,0.0015453432998435712,0.013305108257441134,-0.011759764957597563,0.7,False
WEC,Utilities,0.6188645710611731,Low Beta,639,0.0,0.009413389137403305,-0.009413389137403305,1.0,False,0.0,0.026327140807117067,-0.026327140807117067,1.0,False
WMT,Consumer Staples,0.5449454621080049,Low Beta,639,0.0,0.010012172684825682,-0.010012172684825682,1.0,False,0.0,0.012305909355071476,-0.012305909355071476,1.0,False
WYNN,Consumer Discretionary,1.5898594484416992,High Beta,639,0.010994084648337621,0.014510471844550787,-0.0035163871962131665,0.045,True,0.0019985021364417044,0.009714579685462965,-0.007716077549021261,0.48,False
XYZ,Financials,1.7082948685545214,High Beta,639,0.006295075588267807,0.0,0.006295075588267807,0.285,False,0.004130269912802964,0.00896620295699968,-0.004835933044196716,0.4,False
